DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,BITCOIN,CRYPTOCURRENCY
2017-01-01,963.6580200195312,1003.0800170898438,958.698974609375,998.3250122070312,147775008,37.0,18.0
2017-01-02,998.6170043945312,1031.3900146484375,996.7020263671875,1021.75,222184992,61.0,27.0
2017-01-03,1021.5999755859375,1044.0799560546875,1021.5999755859375,1043.8399658203125,185168000,59.0,34.0
2017-01-04,1044.4000244140625,1159.4200439453125,1044.4000244140625,1154.72998046875,344945984,66.0,32.0
2017-01-05,1156.72998046875,1191.0999755859375,910.4169921875,1013.3800048828125,510199008,82.0,34.0
2017-01-06,1014.239990234375,1046.81005859375,883.9439697265625,902.2009887695312,351876000,73.0,31.0
2017-01-07,903.4869995117188,908.5850219726562,823.5560302734375,908.5850219726562,279550016,59.0,23.0
2017-01-08,908.1749877929688,942.7239990234375,887.2490234375,911.198974609375,158715008,67.0,23.0
2017-01-09,913.2440185546875,913.6859741210938,879.8070068359375,902.8280029296875,141876992,64.0,24.0
2017-01-10,902.4400024414062,914.8729858398438,901.0599975585938,907.6790161132812,115808000,59.0,21.0
2017-01-11,908.114990234375,919.447998046875,762.7650146484375,777.7570190429688,310928992,65.0,23.0
2017-01-12,775.177978515625,826.2459716796875,755.7559814453125,804.833984375,222326000,70.0,20.0
2017-01-13,803.7369995117188,829.0009765625,780.0029907226562,823.9840087890625,168968000,56.0,26.0
2017-01-14,825.1420288085938,835.0850219726562,812.4559936523438,818.4119873046875,93063296,54.0,18.0
2017-01-15,818.1420288085938,823.3070068359375,812.8709716796875,821.7979736328125,71013600,69.0,26.0
2017-01-16,821.7830200195312,834.530029296875,820.27099609375,831.5339965820312,82755200,66.0,22.0
2017-01-17,830.9459838867188,910.5609741210938,830.7960205078125,907.93798828125,155095008,70.0,28.0
2017-01-18,909.3729858398438,917.4990234375,858.3040161132812,886.6179809570312,225676992,68.0,20.0
2017-01-19,888.3350219726562,904.614013671875,884.3380126953125,899.072998046875,105625000,67.0,29.0
2017-01-20,898.1719970703125,899.3980102539062,887.0079956054688,895.0260009765625,86728400,62.0,30.0
2017-01-21,895.5490112304688,927.3670043945312,895.5349731445312,921.7890014648438,111158000,61.0,25.0
2017-01-22,922.2050170898438,937.5250244140625,897.5640258789062,924.6729736328125,116573000,66.0,18.0
2017-01-23,925.4990234375,928.2659912109375,916.7379760742188,921.0120239257812,73588600,71.0,21.0
2017-01-24,910.677001953125,924.14501953125,892.2860107421875,892.68701171875,111349000,73.0,17.0
2017-01-25,891.9240112304688,903.2520141601562,891.68701171875,901.5419921875,120831000,68.0,21.0
2017-01-26,902.39501953125,919.3259887695312,902.2239990234375,917.5859985351562,131958000,65.0,22.0
2017-01-27,918.3590087890625,923.2230224609375,915.8460083007812,919.75,125594000,65.0,31.0
2017-01-28,919.8109741210938,923.9110107421875,919.8109741210938,921.5900268554688,68979600,64.0,15.0
2017-01-29,922.0670166015625,923.4180297851562,919.1480102539062,919.4959716796875,60851700,54.0,30.0
2017-01-30,920.1510009765625,923.0479736328125,919.4739990234375,920.3820190429688,78227296,57.0,31.0
2017-01-31,920.958984375,972.0189819335938,920.958984375,970.4030151367188,164582000,58.0,25.0
2017-02-01,970.9409790039062,989.114013671875,970.7420043945312,989.0230102539062,150110000,63.0,36.0
2017-02-02,990.0009765625,1013.52001953125,983.2210083007812,1011.7999877929688,145820992,65.0,32.0
2017-02-03,1011.4600219726562,1033.8699951171875,1008.7899780273438,1029.9100341796875,201278000,67.0,22.0
2017-02-04,1031.3299560546875,1045.9000244140625,1015.1599731445312,1042.9000244140625,155064000,64.0,27.0
2017-02-05,1043.52001953125,1043.6300048828125,1022.3699951171875,1027.3399658203125,114208000,65.0,22.0
2017-02-06,1028.4000244140625,1044.6400146484375,1028.1600341796875,1038.1500244140625,111762000,65.0,26.0
2017-02-07,1040.1400146484375,1061.9300537109375,1040.1400146484375,1061.3499755859375,146007008,63.0,27.0
2017-02-08,1062.3199462890625,1078.969970703125,1037.489990234375,1063.0699462890625,201855008,67.0,28.0
2017-02-09,1064.699951171875,1088.989990234375,953.343994140625,994.3829956054688,407220000,70.0,28.0
2017-02-10,995.6320190429688,998.905029296875,946.6909790039062,988.6740112304688,190452000,67.0,28.0
2017-02-11,988.8980102539062,1009.2899780273438,982.8300170898438,1004.4500122070312,102261000,64.0,29.0
2017-02-12,1003.52001953125,1004.760009765625,996.9210205078125,999.1810302734375,67530000,68.0,24.0
2017-02-13,998.885009765625,1002.0999755859375,976.0020141601562,990.6420288085938,100607000,67.0,19.0
2017-02-14,991.7349853515625,1011.510009765625,986.4710083007812,1004.5499877929688,137946000,70.0,23.0
2017-02-15,1006.2100219726562,1008.8400268554688,1001.5800170898438,1007.47998046875,89759400,69.0,24.0
2017-02-16,1007.6500244140625,1033.3699951171875,1007.6500244140625,1027.43994140625,122277000,74.0,25.0
2017-02-17,1026.1199951171875,1053.1700439453125,1025.6400146484375,1046.2099609375,136474000,72.0,28.0
2017-02-18,1049.2099609375,1061.0999755859375,1046.9599609375,1054.4200439453125,99073504,70.0,31.0
2017-02-19,1054.760009765625,1056.81005859375,1043.4599609375,1047.8699951171875,77423296,42.0,14.0
2017-02-20,1048.68994140625,1080.489990234375,1041.68994140625,1079.97998046875,109478000,46.0,25.0
2017-02-21,1079.280029296875,1117.25,1076.9300537109375,1115.300048828125,186868992,54.0,26.0
2017-02-22,1114.800048828125,1125.3900146484375,1100.550048828125,1117.43994140625,136100000,53.0,28.0
2017-02-23,1117.27001953125,1176.6199951171875,1116.9599609375,1166.719970703125,189454000,60.0,31.0
2017-02-24,1172.7099609375,1200.3900146484375,1131.9599609375,1173.6800537109375,330759008,72.0,23.0
2017-02-25,1170.4100341796875,1174.8499755859375,1124.5899658203125,1143.8399658203125,139960992,57.0,28.0
2017-02-26,1144.27001953125,1167.469970703125,1130.199951171875,1165.199951171875,116486000,46.0,21.0
2017-02-27,1163.780029296875,1181.97998046875,1163.3800048828125,1179.969970703125,131570000,47.0,26.0
2017-02-28,1180.719970703125,1193.25,1171.8199462890625,1179.969970703125,184956000,49.0,40.0
2017-03-01,1180.0400390625,1222.5,1179.68994140625,1222.5,229056992,48.0,32.0
2017-03-02,1224.6800537109375,1262.1300048828125,1215.6199951171875,1251.010009765625,368275008,60.0,40.0
